,hour,minute,Carbon Intensity gCO₂eq/kWh (direct) median,Carbon Intensity gCO₂eq/kWh (direct) mean,Carbon Intensity gCO₂eq/kWh (direct) percentile_25,Carbon Intensity gCO₂eq/kWh (direct) percentile_75,Carbon Intensity gCO₂eq/kWh (LCA) median,Carbon Intensity gCO₂eq/kWh (LCA) mean,Carbon Intensity gCO₂eq/kWh (LCA) percentile_25,Carbon Intensity gCO₂eq/kWh (LCA) percentile_75,Low Carbon Percentage median,Low Carbon Percentage mean,Low Carbon Percentage percentile_25,Low Carbon Percentage percentile_75,Renewable Percentage median,Renewable Percentage mean,Renewable Percentage percentile_25,Renewable Percentage percentile_75
40,10,0,253.34,261.28755555555557,215.63,304.7025,326.505,336.739,281.62,391.5075,50.045,48.75222222222222,39.0475,57.8225,47.605000000000004,45.95577777777778,36.53,55.125
41,10,15,250.64875,256.72658333333334,212.724375,299.748125,323.735,331.50058333333334,278.2825,385.77750000000003,50.61875,49.59663888888889,40.08,58.394999999999996,48.276250000000005,46.8515,37.531875,55.745000000000005
42,10,30,246.885,252.1656111111111,210.05875,294.79375000000005,319.075,326.2621666666667,275.52875,378.36250000000007,51.6175,50.44105555555555,41.057500000000005,59.06875,49.015,47.74722222222222,38.53375,56.39875
43,10,45,242.3625,247.60463888888887,206.913125,288.735,313.99750000000006,321.02375,271.60749999999996,371.795625,52.5325,51.285472222222225,41.994375,59.745625000000004,50.0925,48.64294444444444,39.535624999999996,57.16375
44,11,0,237.84,243.04366666666667,204.45000000000002,281.1975,308.925,315.7853333333333,268.74,363.04999999999995,53.125,52.129888888888885,43.115,60.485,50.879999999999995,49.538666666666664,40.512499999999996,57.870000000000005
45,11,15,234.72,241.12052777777777,202.86125,280.304375,305.7425,313.5266111111111,267.24125000000004,362.070625,53.78125,52.514250000000004,43.36750000000001,60.719375,51.551249999999996,49.9415,40.94875,58.078125
46,11,30,231.98000000000002,239.1973888888889,201.595,277.48749999999995,302.475,311.2678888888889,265.6275,359.48375,54.4375,52.89861111111111,43.980000000000004,60.92625,52.2225,50.34433333333333,41.5975,58.2825
47,11,45,229.24,237.27425,200.31125,275.895,299.2075,309.00916666666666,263.96125,356.863125,55.09375,53.28297222222222,44.45375,61.231875,52.80625,50.747166666666665,42.24875,58.503125
48,12,0,227.05,235.3511111111111,199.0525,275.2775,296.4,306.75044444444444,261.70000000000005,356.2925,55.620000000000005,53.66733333333334,44.95,61.575,53.325,51.15,42.707499999999996,58.7675
49,12,15,227.2,235.06605555555555,198.57687500000003,274.35625000000005,296.6,306.4588611111111,261.54375,355.31125,55.5325,53.6795,45.248125,61.530625,53.27375,51.15705555555556,42.9125,58.809375
50,12,30,227.35,234.781,197.79874999999998,272.9200000000001,296.8,306.16727777777777,261.115,354.0575,55.449999999999996,53.69166666666667,45.457499999999996,61.39625,53.2225,51.164111111111104,43.105,58.786249999999995
51,12,45,227.5,234.49594444444443,197.159375,272.0375,297.0,305.87569444444443,259.51625,353.24937500000004,55.3725,53.703833333333336,45.339999999999996,61.16,53.17125,51.171166666666664,43.406875,58.875
52,13,0,228.08499999999998,234.2108888888889,196.76,272.3725,297.305,305.5841111111111,259.36,352.7175,55.275,53.71600000000001,45.512499999999996,61.38,53.04,51.178222222222225,43.402499999999996,58.92
53,13,15,229.89875,235.47691666666668,197.414375,273.955,300.46125,307.1076388888889,260.089375,354.653125,54.92875,53.41677777777778,45.2225,61.129375,52.55375,50.86761111111111,43.188125,58.80625
54,13,30,231.4725,236.74294444444448,198.48874999999998,275.86749999999995,302.235,308.6311666666667,262.23125,356.63625,54.852500000000006,53.117555555555555,44.91625,60.97125,52.105000000000004,50.557,42.97624999999999,58.623749999999994
55,13,45,233.16625,238.0089722222222,200.08687500000002,278.00125,303.46,310.15469444444443,263.47875,358.946875,54.5475,52.81833333333333,44.6875,60.799375,51.66375,50.24638888888889,42.590624999999996,58.396874999999994
56,14,0,234.54500000000002,239.275,200.87,279.1825,305.355,311.67822222222225,264.89250000000004,360.395,54.47,52.519111111111116,44.4125,60.614999999999995,51.7,49.93577777777778,42.2225,58.18
57,14,15,238.95875,242.71286111111112,202.53312499999998,284.140625,310.13750000000005,315.69216666666665,266.24125,366.72499999999997,53.77875,51.824555555555555,43.39625,60.166875,51.041250000000005,49.20272222222222,41.265625,57.745625000000004
58,14,30,241.95999999999998,246.1507222222222,205.39000000000001,289.53375,314.32500000000005,319.7061111111111,269.17,372.82624999999996,53.065000000000005,51.129999999999995,42.355,59.65375,50.38250000000001,48.46966666666666,40.2925,57.03875000000001
