,hour,minute,Carbon Intensity gCO₂eq/kWh (direct) median,Carbon Intensity gCO₂eq/kWh (direct) mean,Carbon Intensity gCO₂eq/kWh (direct) percentile_25,Carbon Intensity gCO₂eq/kWh (direct) percentile_75,Carbon Intensity gCO₂eq/kWh (LCA) median,Carbon Intensity gCO₂eq/kWh (LCA) mean,Carbon Intensity gCO₂eq/kWh (LCA) percentile_25,Carbon Intensity gCO₂eq/kWh (LCA) percentile_75,Low Carbon Percentage median,Low Carbon Percentage mean,Low Carbon Percentage percentile_25,Low Carbon Percentage percentile_75,Renewable Percentage median,Renewable Percentage mean,Renewable Percentage percentile_25,Renewable Percentage percentile_75
13,3,15,342.35,337.5843956043956,304.0475,382.885,425.7575,423.8907692307692,385.77375,477.98625,35.1225,35.980604395604395,28.98125,41.4475,29.3025,30.197884615384616,22.002499999999998,36.3375
14,3,30,343.4,337.8257142857143,304.605,384.265,428.34000000000003,424.22967032967034,385.7925,479.69750000000005,34.715,35.886373626373626,29.0775,41.22,29.445,30.079065934065937,21.6825,36.1375
15,3,45,345.665,338.06703296703296,304.33750000000003,384.67999999999995,431.28000000000003,424.56857142857143,385.81125,480.4175,34.675000000000004,35.792142857142856,28.973750000000003,40.9925,29.02,29.960247252747255,21.55,36.11875
16,4,0,346.56,338.3083516483517,303.53,384.61,434.22,424.9074725274725,385.525,480.58000000000004,34.57,35.69791208791209,28.955,40.765,29.15,29.841428571428573,21.814999999999998,36.099999999999994
17,4,15,347.2425,338.8168956043956,302.77,384.4925,435.07000000000005,425.6266208791209,384.89750000000004,480.7925,34.4675,35.488186813186815,28.6475,40.7475,29.330000000000002,29.748159340659342,21.7675,35.96124999999999
18,4,30,347.995,339.3254395604396,300.6875,384.61,434.705,426.3457692307692,382.28999999999996,481.04999999999995,34.364999999999995,35.27846153846154,28.7175,40.807500000000005,28.955,29.65489010989011,21.7,35.785
19,4,45,348.53999999999996,339.83398351648356,302.05875000000003,384.8775,434.74,427.0649175824176,384.1575,481.3075,34.262499999999996,35.06873626373626,28.268749999999997,41.1375,28.6575,29.56162087912088,21.575,35.68375
20,5,0,347.6,340.3425274725275,303.58,385.145,435.09,427.7840659340659,386.025,481.37,34.16,34.85901098901099,27.939999999999998,41.19,28.87,29.468351648351646,21.655,35.4
21,5,15,347.805,340.8688736263736,308.59875,385.73625000000004,436.995,428.75651098901096,390.2675,483.03999999999996,33.9975,34.43667582417583,27.30375,40.790000000000006,28.7125,29.227115384615384,21.81625,35.152499999999996
22,5,30,348.33,341.3952197802198,311.305,386.1725,438.21500000000003,429.72895604395603,393.80499999999995,484.15,33.565,34.01434065934066,26.775,40.39,28.76,28.985879120879122,21.595,34.760000000000005
23,5,45,348.99,341.92156593406594,312.6225,386.91875000000005,440.0975,430.7014010989011,395.6525,485.31625,33.0675,33.59200549450549,26.283749999999998,40.261250000000004,28.215,28.744642857142853,21.25125,34.61125
24,6,0,350.02,342.4479120879121,312.9,386.745,440.1,431.67384615384617,396.01,486.0,32.71,33.16967032967033,25.765,40.305,27.67,28.50340659340659,20.86,34.504999999999995
25,6,15,351.6675,343.51585164835166,312.43375000000003,386.6,441.59999999999997,432.87354395604393,395.165,486.51875,32.887499999999996,33.03793956043956,25.682499999999997,39.835,27.712500000000002,28.39865384615385,20.7275,34.55
26,6,30,352.87,344.5837912087912,311.9675,387.1325,442.73,434.07324175824175,394.32,486.14250000000004,32.06,32.90620879120879,25.385,39.8475,27.755000000000003,28.2939010989011,20.805,34.019999999999996
27,6,45,353.78999999999996,345.65173076923077,311.50125,388.11875,444.045,435.27293956043957,393.475,487.29875000000004,31.7025,32.77447802197802,25.48375,40.3125,27.535,28.189148351648353,20.8525,33.988749999999996
